desc;code;date;starttime;endtime;firstname;lastname;email
VAHC;1001;2019-10-20;08:45:00;10:35:00
VIS4DH;1002;2019-10-20;08:45:00;10:35:00
Tutorial: Topological Data Analysis Made Easy with the Topology ToolKit, A Sequel;1004;2019-10-20;08:45:00;10:35:00
Workshop: Visualization for Communication (VisComm);1007;2019-10-20;08:45:00;10:35:00
LDAV;1032;2019-10-21;08:45:00;10:35:00;SV;VIS;svadmin
VAHC;1009;2019-10-20;10:35:00;12:25:00
VIS4DH;1010;2019-10-20;10:35:00;12:25:00
Workshop: MLUI 2019: Machine Learning from User Interactions for Visualization and Analytics;1021;2019-10-20;14:05:00;15:55:00;SV;VIS;svadmin
Tutorial: Topological Data Analysis Made Easy with the Topology ToolKit, A Sequel;1012;2019-10-20;10:35:00;12:25:00
Tutorial: Visualizing Multivariate Networks ;1014;2019-10-20;10:35:00;12:25:00
VAHC;1017;2019-10-20;14:05:00;15:55:00
VIS4DH;1018;2019-10-20;14:05:00;15:55:00
Workshop: Vis X Vision: Workshop on Novel Directions in Vision Science and Visualization Research;1019;2019-10-20;14:05:00;15:55:00
Tutorial: VTK-m - A ToolKit for Scientific Visualization on Many-Core Processors;1020;2019-10-20;14:05:00;15:55:00
Tutorial: Better Presentations for Visualization Research;1022;2019-10-20;14:05:00;15:55:00
VDS;1024;2019-10-20;15:55:00;17:45:00
VIS4DH;1026;2019-10-20;15:55:00;17:45:00
Workshop: Vis X Vision: Workshop on Novel Directions in Vision Science and Visualization Research;1027;2019-10-20;15:55:00;17:45:00
Tutorial: VTK-m - A ToolKit for Scientific Visualization on Many-Core Processors;1028;2019-10-20;15:55:00;17:45:00
Workshop: MLUI 2019: Machine Learning from User Interactions for Visualization and Analytics;1029;2019-10-20;15:55:00;17:45:00
Application Spotlight: Visualization in meteorology and climate sciences: recent research and open challenges;1023;2019-10-20;14:05:00;15:55:00
Application Spotlight: Visual Analysis of Air and Maritime Trajectory Data;1031;2019-10-20;15:55:00;17:45:00
Tutorial: Visualizing Multivariate Networks ;1006;2019-10-20;08:45:00;10:35:00
VAST Challenge;1034;2019-10-21;08:45:00;10:35:00
Tutorial: Visual Analysis and Design;1036;2019-10-21;08:45:00;10:35:00
Workshop: Evaluation of Interactive Visual Machine Learning Systems (EVIVA-ML);1037;2019-10-21;08:45:00;10:35:00
Tutorial: Statistical Data Representation, Visualization, and Uncertainty Analysis;1038;2019-10-21;08:45:00;10:35:00
Tutorial: Beyond Paper Types: How to Evaluate and Communicate VIS Research Contributions;1039;2019-10-21;08:45:00;10:35:00
Workshop: DSIA 2019: Data Systems for Interactive Analysis;1035;2019-10-21;08:45:00;10:35:00
VisInPractice;1041;2019-10-21;10:35:00;12:25:00
VAST Challenge;1042;2019-10-21;10:35:00;12:25:00
Workshop: DSIA 2019: Data Systems for Interactive Analysis;1043;2019-10-21;10:35:00;12:25:00
Workshop: Evaluation of Interactive Visual Machine Learning Systems (EVIVA-ML);1045;2019-10-21;10:35:00;12:25:00
Tutorial: Statistical Data Representation, Visualization, and Uncertainty Analysis;1046;2019-10-21;10:35:00;12:25:00
Tutorial: Beyond Paper Types: How to Evaluate and Communicate VIS Research Contributions;1047;2019-10-21;10:35:00;12:25:00
VisInPractice;1049;2019-10-21;14:05:00;15:55:00
