Code,Category,Description,Location,Date,StartTime,EndTime,Duration,Username
7021,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7022,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7023,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7024,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7025,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7026,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7027,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7028,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7029,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7030,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7031,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7032,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7033,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7034,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7035,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7036,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7037,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7038,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7039,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7040,7,Training,SV Room (TBD),2019-10-19,20:15,21:30,1:15,
7041,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7042,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7043,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7044,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7045,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7046,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7047,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7048,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7049,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7050,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7051,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7052,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7053,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7054,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7055,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7056,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7057,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7058,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7059,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7060,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
7061,7,Training,SV Room (TBD),2019-10-20,18:15,19:30,1:15,
8000,8,Day Captain,SV Room (TBD),2019-10-20,7:00,21:00,14:00,hazarika.3@osu.edu
8001,8,Day Captain,SV Room (TBD),2019-10-21,7:30,20:00,12:30,xiyao.wang@inria.fr
8002,8,Day Captain,SV Room (TBD),2019-10-22,7:00,21:00,14:00,dowlingm@vt.edu
8003,8,Day Captain,SV Room (TBD),2019-10-23,7:30,21:00,13:30,jtrell2@uic.edu
8004,8,Day Captain,SV Room (TBD),2019-10-24,7:30,20:30,13:00,tom.horak@tu-dresden.de
8005,8,Day Captain,SV Room (TBD),2019-10-25,7:30,13:00,5:30,nicolebs@cs.toronto.edu
